Stimmart;Adresse;Bezirksnummer;Bezirksname;Wahlbezirk;Wahlbezirksart;"Abgeordneten-
hauswahlkreis";"Bundestags-
wahlkreis";OstWest;Wahlberechtigte insgesamt;Wahlberechtigte A1;Wahlberechtigte A2;Wahlberechtigte A3;Wähler;"darunter
Wähler B1
(bei endgültigem Ergebnis)";Ungültige Stimmen;Gültige Stimmen;SPD;CDU;GRÜNE;DIE LINKE;AfD;PIRATEN;FDP;Tierschutzpartei;Die PARTEI;NPD;FAMILIE;Volksabstimmung;ÖDP;FREIE WÄHLER;DKP;MLPD;SGP;BP;TIERSCHUTZ hier!;Tierschutzallianz;Bündnis C;BIG;BGE;DIE DIREKTE!;DiEM25;III. Weg;Die Grauen;DIE RECHTE;DIE VIOLETTEN;LIEBE;DIE FRAUEN;Graue Panther;LKR;MENSCHLICHE WELT;NL;ÖkoLinX;Die Humanisten;PARTEI FÜR DIE TIERE;Gesundheitsforschung;Volt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W100;01;Mitte;100;Urnenwahlbezirk;01;75;W;1 924;1 543;381;0;675;7;8;667;90;81;219;73;40;10;44;11;25;1;5;0;8;1;0;1;0;0;0;2;0;13;4;2;6;0;0;0;0;0;3;1;1;0;3;4;2;0;1;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W101;01;Mitte;101;Urnenwahlbezirk;01;75;O;1 582;1 116;466;0;729;12;5;724;93;87;277;57;42;8;61;8;30;0;4;0;4;3;0;0;0;0;0;0;0;0;2;0;12;0;1;0;0;1;2;0;1;1;0;2;0;1;2;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W102;01;Mitte;102;Urnenwahlbezirk;01;75;O;1 326;911;415;0;549;7;0;549;76;72;194;56;42;1;46;5;20;0;1;0;2;1;2;0;0;1;3;0;0;0;1;0;7;0;1;0;0;2;0;0;0;0;0;0;2;0;1;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W103;01;Mitte;103;Urnenwahlbezirk;01;75;O;1 977;1 418;559;0;907;21;3;904;95;97;405;66;36;14;80;8;27;0;2;0;7;1;0;1;0;0;1;0;0;2;0;0;11;0;0;1;0;1;1;2;1;0;0;4;6;1;4;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W104;01;Mitte;104;Urnenwahlbezirk;01;75;O;1 245;888;357;0;604;6;3;601;74;64;257;42;30;2;51;2;30;0;0;0;1;1;0;0;0;0;0;1;2;1;1;0;14;0;1;1;0;0;0;1;0;0;0;0;0;0;0;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W105;01;Mitte;105;Urnenwahlbezirk;01;75;O;1 058;780;278;0;503;7;3;500;60;44;191;63;30;2;32;4;22;1;0;0;1;1;0;0;0;0;2;0;0;1;1;1;9;1;1;0;0;0;0;3;0;0;0;4;1;0;4;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W106;01;Mitte;106;Urnenwahlbezirk;01;75;O;1 482;971;511;0;653;12;2;651;85;84;249;51;42;4;46;4;20;0;1;0;2;3;1;1;0;0;0;0;1;1;1;0;13;0;1;0;0;2;0;0;2;1;1;0;2;1;1;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W107;01;Mitte;107;Urnenwahlbezirk;01;75;O;1 132;814;318;0;545;17;2;543;57;40;211;68;38;0;46;1;24;1;1;0;2;0;0;0;1;1;0;0;0;0;2;0;19;0;1;0;0;1;0;1;1;0;0;2;1;2;0;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W108;01;Mitte;108;Urnenwahlbezirk;01;75;O;1 046;701;345;0;426;9;1;425;40;73;130;41;28;2;49;7;20;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;1;0;0;0;1;1;2;2;0;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W109;01;Mitte;109;Urnenwahlbezirk;01;75;W;1 140;966;174;0;436;2;9;427;96;85;79;45;40;6;16;12;14;0;2;0;6;1;0;1;0;0;2;1;2;2;0;0;2;0;2;0;0;0;3;1;0;0;0;0;1;2;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
