"id";"ssflag";"pagenumberinocrdocument";"authorfirstname";"authorlastname";"title";"firsteditionpublisher";"firsteditionpublicationplace";"firsteditionpublicationyear";"secondeditionpublisher";"secondeditionpublicationplace";"secondeditionpublicationyear";"additionalinfos";"ocrresult"
"70526";"2";"0";"Adler";"Alfred";"Praxis und Theorie der Individualpsychologie";"Bergmann";"München";"1930";"";"";"";"";"Adler, Alfred: Praxis und Theorie der Individualpsychologie. München: Bergmann 1930. "
"70527";"2";"2";"Bruno";"Adler";"Sämtliche Schriften";"";"";"";"";"";"";"";"Adler, Bruno: Sämtliche Schriften."
"70528";"2";"2";"Felix";"Adler";"Der Moralunterricht der Kinder";"Dümmler";"Berlin";"1894";"";"";"";"";"Adler, Felix: Der Moralunterricht der Kinder. Berlin: Dümmler 1894."
"70529";"2";"2";"Friedrich (Wolfgang)";"Adler";"Sämtliche Schriften";"";"";"";"";"";"";"";"Adler, Friedrich (Wolfgang): Sämtliche Schriften."
"70530";"2";"2";"Georg";"Adler";"Sämtliche Schriften";"";"";"";"";"";"";"";"Adler, Georg: Sämtliche Schriften."
"70531";"2";"2";"Max";"Adler";"Sämtliche Schriften";"";"";"";"";"";"";"";"Adler, Max: Sämtliche Schriften."
"70532";"2";"2";"Otto";"Adler";"Sämtliche Schriften";"";"";"";"";"";"";"";"Adler, Otto: Sämtliche Schriften."
"70533";"2";"2";"Viktor";"Adler";"Sämtliche Schriften";"";"";"";"";"";"";"";"Adler, Viktor: Sämtliche Schriften."
"70534";"2";"2";"";"Adolf, Gustav (Pseud.)";"Syphilis. Einstundenspiel aus der Nachkriegszeit";"Jensen";"Swinemünde";"1921";"";"";"";"";"Adolf, Gustav (Pseud.): Syphilis. Einstundenspiel aus der Nachkriegszeit. Swinemünde: Jensen 1921."
"70535";"2";"2";"";"Adolphi, Max, und Arno Kettmann";"Tanzkunst und Kunsttanz";"Püttmann";"Stuttgart";"1928";"";"";"";"";"Adolphi, Max, und Arno Kettmann: Tanzkunst und Kunsttanz. Stuttgart: Püttmann 1928."
"70536";"2";"2";"Joseph";"Adrian";"Menschenweisheit und Gottesweisheit im Laufe der Jahrtausende";"Steffen";"Limburg/Lahn";"1937";"";"";"";"";"Adrian, Joseph: Menschenweisheit und Gottesweisheit im Laufe der Jahrtausende. Limburg/Lahn: Steffen 1937."
"70537";"1";"2";"A.";"Afonin";"Komsomol";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1934";"";"";"";"";"Afonin, A.: Komsomol. Moskau: Verlagsgen. ausländ. Arbeiter 1934."
"70538";"2";"2";"Gregor A.";"Agabekow";"Die Tscheka bei der Arbeit";"Union";"Stuttgart";"1932";"";"";"";"";"Agabekow, Gregor A.: Die Tscheka bei der Arbeit. Stuttgart: Union 1932."
"70539";"2";"2";"Georg";"Ahlemann";"Der Nationalismus in Abwehr. Antwort auf Ludendorffs »Weltkrieg droht«";"Selbstverl.";"Berlin";"1931";"";"";"";"";"Ahlemann, Georg: Der Nationalismus in Abwehr. Antwort auf Ludendorffs »Weltkrieg droht«. Berlin: Selbstverl. 1931."
"70540";"2";"2";"";"";"Aktkunstmappen der Körperbildungsschule Adolf Koch";"Oldenburg";"Leipzig";"1930";"";"";"";"";"Aktkunstmappen der Körperbildungsschule Adolf Koch. Leipzig: Oldenburg 1930."
"70541";"2";"2";"";"Alba (Pseud.) s. Baresel, Alfred. Albert, Charles";"Die freie Liebe";"Spohr";"Leipzig";"1900";"";"";"";"";"Alba (Pseud.) s. Baresel, Alfred. Albert, Charles: Die freie Liebe. Leipzig: Spohr 1900."
"70542";"2";"2";"Charles";"Albert";"Vaterland, Krieg u. Kaserne";"Goschke";"Berlin";"1918";"";"";"";"";"Albert, Charles: Vaterland, Krieg u. Kaserne. Berlin: Goschke 1918."
"70543";"2";"2";"M.";"Alberton";"Birobidschan, die Judenrepublik";"Prager";"Leipzig";"1932";"";"";"";"";"Alberton, M.: Birobidschan, die Judenrepublik. Leipzig: Prager 1932."
"70544";"2";"2";"Emil";"Alboldt";"Die Tragödie der alten deutschen Marine";"Dt. Verlagsges. f. Politik u. Geschichte";"Berlin";"1928";"";"";"";"";"Alboldt, Emil: Die Tragödie der alten deutschen Marine. Berlin: Dt. Verlagsges. f. Politik u. Geschichte 1928."
"70545";"2";"2";"August";"Albrecht";"Jugend-Liederbuch";"Arbeiterjugendverl.";"Berlin";"1929";"";"";"";"";"Albrecht, August: Jugend-Liederbuch. Berlin: Arbeiterjugendverl. 1929."
"70546";"2";"2";"Paul";"Albrecht";"Ein Mahnwort an die deutschen Arbeiter";"Birkner";"Berlin";"1908";"";"";"";"";"Albrecht, Paul: Ein Mahnwort an die deutschen Arbeiter. Berlin: Birkner 1908."
"70547";"2";"2";"Don Brennus";"Aléra";"Sämtliche Schriften";"";"";"";"";"";"";"";"Aléra, Don Brennus: Sämtliche Schriften."
"70548";"2";"2";"Friedrich";"Alexan";"Sämtliche Schriften";"";"";"";"";"";"";"";"Alexan, Friedrich: Sämtliche Schriften."
"70549";"2";"2";"Alex";"Alexander";"Pater Antonio";"Phoebus";"Berlin";"1929";"";"";"";"";"Alexander, Alex: Pater Antonio. Berlin: Phoebus 1929."
"70550";"1";"2";"Edgar";"Alexander";"»Der Mythus Hitler« oder »Die Entlarvung des Nationalsozialismus«";"Europa-Verl.";"Zürich";"1937";"";"";"";"";"Alexander, Edgar: »Der Mythus Hitler« oder »Die Entlarvung des Nationalsozialismus«. Zürich: Europa-Verl. 1937."
"70551";"2";"2";"G. G. L.";"Alexander";"Mobilisierung der Frauen";"Hoym";"Hamburg";"1928";"";"";"";"";"Alexander, G. G. L.: Mobilisierung der Frauen. Hamburg: Hoym 1928."
"70552";"2";"2";"L.";"Alexander";"Das große Heimweh";"Staufen-Verl.";"Göppingen";"1934";"";"";"";"";"Alexander, L.: Das große Heimweh. Göppingen: Staufen-Verl. 1934."
"70553";"2";"2";"Konrad";"Algermissen";"Germanentum u. Christentum";"Giesel";"Hannover";"1935";"";"";"";"";"Algermissen, Konrad: Germanentum u. Christentum. Hannover: Giesel 1935."
"70554";"2";"2";"";"";"Alice. Erotischer Roman,";"";"o. O.";"1926";"";"";"";"";"Alice. Erotischer Roman, o. O. 1926."
